drug,cosine_sim
CID000003954,-0.021226037507860562
CID000004829,-0.025314159523869284
CID000004140,-0.024647374657667198
CID000002909,0.04532636317562844
CID000003676,0.11796076648756693
CID000003339,0.008391905314247716
CID000005656,-0.07536513870905437
CID000000853,-0.0457967802055268
CID000119607,0.008035474674376264
CID000004889,-0.03597248059982894
CID000003154,0.04040304518534832
CID000005029,-0.005283679890990545
CID000003823,-0.025745514598275898
CID000003937,0.008052886857523589
CID000003883,0.017691338582414562
CID000004885,0.01303085480238253
CID000003961,0.008270183554167532
CID000060835,-0.01894410607636865
CID000002622,0.09722940065478225
CID000004609,0.0853016666330344
CID003468412,0.02362018475335903
CID000060147,0.1103022771970027
CID000002244,-0.02006405746098161
CID000002806,0.10920437235127167
CID000003446,-0.06918453506896216
CID000005352,0.05795714645226657
CID000004112,0.08138920594088295
CID000004635,0.011355385940849727
CID000002088,-0.059826021799510354
CID000002311,-0.01776497909697672
CID000000772,-0.06231679498538156
CID000003672,-0.02082662416148806
CID000004583,-0.012068816860834275
CID000003639,-0.0822146130625514
CID000004585,-0.017083828330138884
CID000003899,-0.03989398525600185
CID000004616,0.02706459261943972
CID000005064,-0.05527308022501232
CID000003929,-0.01432828836709854
CID000051263,0.1025114072467076
CID000065999,-0.1334056844618401
CID000083786,-0.09595870567175391
CID000002524,0.06205344428664905
CID000003405,0.06813764601026906
CID000667490,0.04558776238600293
CID000003062,-0.029867245969068756
CID000071616,0.038242522460176454
CID000004091,0.04983628892561576
CID000005090,-0.11950066523328573
CID000004170,0.024502806368544405
CID000005095,-0.028828817638369753
CID000005291,-0.032412510329342004
CID000019090,-0.039665819193666296
CID000002802,0.019608715824339096
CID000004900,0.023098596410490613
CID000002803,0.013208981725473246
CID000003365,0.0006328168219601471
CID000000942,-0.05616659927768741
CID000062924,0.11295053818715772
CID000001065,0.034989552217857045
CID000005512,-0.12952600295316996
CID000041781,0.04062489024091942
CID000005039,-0.10281101641681079
CID000004679,-0.057541140083331666
CID000005523,-0.044614407269616185
CID000002520,0.005312179426074648
CID000005038,0.03464463039010335
CID000005035,-0.05403487820368502
CID000005426,0.026615629073654112
CID000002662,-0.041708752504322266
CID000004873,0.06897877717896639
CID000005556,0.02081837178579571
CID000006691,0.017394924258903988
CID000002666,-0.020714442254679444
CID000002749,-0.1189655109728196
CID000004411,-0.06229241342962655
CID000004748,0.04690799874545404
CID000005533,-0.0065494861760018175
CID004475485,-0.0015856737197810222
CID000003016,-0.028335374496695875
CID000003379,-0.06616323597310547
CID000005719,0.04306331237203309
CID000003440,0.049399081297825775
CID000003325,0.020624535093874963
CID000003403,0.08476632962954422
CID000002118,0.008952531207275904
CID000003382,0.009280190059459903
CID000003463,0.05637519894906795
CID000004510,-0.0101575161822538
CID000004058,0.06727724424545034
CID000004171,0.0835506705341914
CID000005647,0.06791545483032135
CID000003308,0.010258608777215628
CID000004173,0.05371833503893486
CID000000450,0.015444772519893846
CID000060854,0.07625961541356707
CID000002895,-0.0833029164333483
CID000005650,0.09118224413112808
CID000028112,-0.07460555942527547
CID000004927,0.011808390711673389
CID000003784,-0.01743675474633055
CID000005402,0.06945820354594656
CID000005732,0.04968867190857307
CID000003958,-0.03463059173712457
CID000005487,-0.10957715080082653
CID000002022,-0.06534372066017369
CID000003345,-0.05299146714753511
CID000003878,0.09625739800994981
CID000005358,-0.026497370988142865
CID000002656,-0.02426549618725682
CID000005391,-0.035770055198487416
CID000004946,0.05642791060485408
CID000060865,-0.015791611843038122
CID000001302,0.08156442877370329
CID000002678,0.08679670800650396
CID000004634,0.0012701688824419133
CID000125889,0.05442195405284045
CID000002771,0.013607472892338435
CID000003640,0.014295626800982952
CID000000444,0.06283362175278018
CID000024011,-0.034590213125544444
CID000002171,0.0048271346549934036
CID000054808,-0.11698209072909993
CID000005040,-0.0752836405924513
CID000005077,-0.11303773992095278
CID000002083,0.03778197322333343
CID000002375,0.003985848289591032
CID006398525,-0.1412521545823393
CID000002801,-0.04087846881237067
CID005311297,-0.01995947196896597
CID000005645,-0.04093131056684274
CID000060831,0.03159495416287805
CID000002609,0.004070128966634057
CID000124087,-0.14912567572012647
CID000003043,-0.07092664918423397
CID000148192,0.07369450835049018
CID000001690,0.05396137401688572
CID000004053,0.0863112788269167
CID000003367,0.11193955702991909
CID000002550,-0.01252031324229197
CID000004259,-0.0033658150155169153
CID000003821,-0.023775633997338952
CID000003488,0.010116395966402458
CID000005372,-0.06876716569641905
CID000003780,-0.062173503708804256
CID000027661,-0.051041253111653306
CID000003032,0.0593369090414958
CID000004943,-0.009966152397820727
CID000163742,-0.15973088985286754
CID000123620,-0.044003957040287256
CID000005002,0.012238853480567968
CID000004856,0.005162192868780169
CID000002249,-0.07434689394785576
CID000003419,-0.015143685345277769
CID000002141,0.12249580155230266
CID005311039,-0.07696263985831586
CID000002812,0.02051072073428184
CID000005152,-0.09884074555006372
CID000004740,0.02695578584467584
CID000002786,0.11919585825367196
CID000002092,0.04548696307375688
CID000003890,-0.057670524333191864
CID000003003,-0.017697464415978637
CID000003385,-0.05228379543688666
CID000034312,-0.1040953380616807
CID000005203,-0.02160911824791656
CID000002477,-0.061596473959024234
CID000032797,0.07991849636076653
CID000000143,0.01668891267132
CID000004595,0.043442643943799486
CID000003957,-0.01055806955661942
CID000004054,0.02793015714702518
CID000004543,-0.03515026631248763
CID000004599,-0.10562485525583654
CID000003042,0.006765690462837037
CID000003516,0.009380685887971696
CID000003962,0.03224916444117565
CID000060852,0.06527357438409609
CID000002250,0.05860715035581032
CID000002891,0.02163288664218288
CID000010631,-0.024752218390917236
CID000003075,0.03221950310206756
CID000005073,0.08649080559690736
CID000004594,-0.049913282060066955
CID000060184,-0.0366260482699583
CID000197712,-0.07817639895255879
CID000005267,0.013106356899205474
CID000003222,-0.10545874618996409
CID000002576,0.03612531421582155
CID000002462,-0.059198202859747306
CID000176168,-0.03518457163793731
CID000002658,-0.0021993508762150338
CID000068740,0.0663899836813735
CID000002955,0.008907049208855211
CID000003324,-0.04032765359781365
CID000004513,0.03517564404626017
CID000003702,-0.053756603954830284
CID000005672,-0.022934560253184744
CID000001983,0.016093102023406525
CID000002269,-0.0526854249191262
CID000002308,-0.04417809195023015
CID000004603,0.0026550215745246852
CID000000598,-0.028686946858243578
CID000060877,-0.09013225159503557
CID000000581,-0.0838024605872103
CID000087177,-0.031065378258710696
CID000003158,-0.025273174533454013
CID000004666,0.13741161625910925
CID000002713,0.08431131889113375
CID000004601,0.02739329121649081
CID000002267,-0.032777486620859886
CID000003386,0.0010988923507335713
CID000002435,-0.09838824953562164
CID000004253,0.007305635933493759
CID000003476,0.06654982234036821
CID000130881,-0.12234629712366663
CID000003348,0.07591663800096593
CID000001775,-0.010412204090574306
CID000003410,-0.035738313250789355
CID000004159,0.11135725658105877
CID000004819,-0.05137428062151317
CID000000271,0.019015923421119574
CID005353980,-0.0029945361795689074
CID000003255,-0.10636637400661741
CID000002554,-0.07792161190950808
CID000002617,0.013138912222701582
CID000054688,-0.018493054885983184
CID000004614,-0.051890848790222766
CID000005544,-0.1010145347767768
CID000002907,0.04124768042304894
CID000003652,0.0920817371016166
CID000002153,0.039393634251116194
CID000008953,0.0878027873916658
CID000000937,-0.02763751659227487
CID000054454,-0.05164414048534072
CID000104741,-0.011611114801707956
CID000005514,-0.034026268832973106
CID005282226,-0.05117933495457794
CID000003161,0.0080757889885964
CID000004409,-0.060837255004080326
CID000077999,0.039567651354484146
CID000110634,-0.023621342522325728
CID000054841,-0.04346026437842343
CID005329102,-0.043140101344603776
CID000059708,0.0490965296987359
CID000004200,0.038781697824228356
CID000002187,-0.12318003336464489
CID000003749,0.029665693276482497
CID000001071,0.007885920865240759
CID000002265,-0.021560612591559947
CID000003911,0.06170484351152361
CID000005212,0.03718387662782663
CID000000159,-0.0007267465290101693
CID000152945,0.11580465936039319
CID000004168,-0.0023991188675211994
CID000002978,0.10003898599188255
CID000005379,0.07097806188888667
CID000104865,0.13896299587091865
CID000002949,0.08560984584310904
CID000005472,-0.14321800105269933
CID000091270,0.06747427663639138
CID000004691,0.04042691908657181
CID000003121,0.06103539098804578
CID000001134,-0.04655843989476138
CID000003877,-0.07051080610526461
CID000000838,0.00869029066902094
CID000005596,-0.07336114938972993
CID000002471,0.14295038310026742
CID000003658,-0.049019721251638115
CID000002585,0.01738912260516212
CID000003715,0.011376125216842947
CID000005401,-0.054300276594916985
CID000002764,0.04815910751708774
CID000005538,0.06813136899922279
CID000004158,-0.029099813503715044
CID000004212,0.038659092615133006
CID000123631,-0.03446821666841737
CID000216326,-0.05206209383728311
CID000004485,0.07424282968760176
CID000016231,-0.04568354833749666
CID000001046,-0.005462772214814615
CID000003869,-0.06515295361313056
CID000003696,0.10901222032557978
CID000002162,0.009896221028114494
CID000003746,0.08913313887260255
CID000056959,0.020337786204666308
CID000003157,0.03253092180992456
CID000001972,-0.08405491118303443
CID000004911,-0.008070000356774187
CID000004509,-0.07320503640976872
CID000002284,0.03367800351223427
CID000003449,0.10615428834960261
CID000093860,0.03297523500848365
CID000003826,-0.031121770407705807
CID000004178,-0.018015812724552216
CID000004107,-0.12712992151946612
CID000004506,-0.07770928064546045
CID000119182,-0.06201581372949816
CID000005978,0.038431879727157114
CID000003461,0.10170495972383775
CID000002156,0.019844607609225018
CID000005651,0.11801890922767921
CID003002190,0.008058597671895096
CID005311048,0.0788786765377828
CID000003741,0.022741196899039418
CID000005408,-0.10760312291906682
CID000003168,0.12687731665775814
CID005493381,0.007121891201438135
CID000002646,0.04235541284840216
CID000003310,0.015060221688909636
CID000071158,0.07354294248070925
CID000004449,0.011257298942163652
CID000001117,0.044075472839432694
CID000004894,-0.046127990160028
CID000071329,-0.016250543480704982
CID000002631,0.010918107635945695
CID000003902,-0.04102013230012802
CID000005496,0.030893081958585533
CID000005005,0.022213912146733517
CID000003763,0.04288966369232616
CID000002973,0.10370817550006639
CID000005376,-0.013215784820628462
CID000003198,-0.07318222911306815
CID005487301,-0.07762689118175481
CID000005478,0.019968185275118344
CID000002650,0.018969782072188246
CID000004607,-0.07785143276120765
CID000004812,-0.11171764013412733
CID000004828,-0.013664181569243983
CID000003793,-0.09158264849860576
CID000060953,-0.06966093030879006
CID000003397,-0.03622113905893021
CID000154059,-0.029726366054045217
CID000004463,0.044178867252467224
CID000004205,0.04166874788027908
CID000072938,-0.03510232664298574
CID000060198,0.052216157395457596
CID000002756,0.02152786011980845
CID000002160,-0.10811962951477883
CID000004052,0.005260702603789413
CID000004674,0.07507401762340205
CID000003675,-0.017540929751507672
CID003085017,-0.15992364013679383
CID000001978,-0.009204902140113047
CID005481350,0.029972200290370843
CID005281104,-0.034426569459816925
CID005311181,0.12047694474814785
CID000005184,-0.0034494749492559595
CID000150311,-0.02400648121191873
CID000003559,-0.007408801809751564
CID005311027,-0.0005040883819276143
CID000443871,-0.10968824685060863
CID000000191,-0.08769900907586248
CID000005726,-0.06111832361763736
CID000060754,0.012679575299492485
CID000064147,-0.07883442674103258
CID000216239,0.015570613801436428
CID000005412,0.01227475119127619
CID000074989,-0.050509393589828644
CID000004917,0.056648818313779326
CID000024486,-0.028524503351026187
CID000002541,0.019551300116078196
CID000148211,-0.06609468028901122
CID000003648,0.037372345471368584
CID000003825,-0.00956383880660372
CID000002487,-0.035224453242628906
CID000003393,0.0125657271130587
CID000003143,-0.014923162414592905
CID000003750,0.10176381919407029
CID000005466,0.014161352450438702
CID000004909,0.0018861573517046093
CID000005245,0.03692717650442734
CID000003454,0.05408664121047635
CID000001986,-0.00888526415742974
CID000005234,0.050244300053594704
CID000151165,0.07858788133636185
CID000002405,-0.12915225206218905
CID000003350,-0.04133060538364597
CID000056339,-0.07279113039842522
CID000003657,0.038442431487721085
CID000000861,0.018870748381672242
CID000150310,-0.04299416224441677
CID000004236,0.04055854794625846
CID000002522,-0.007922824241230364
CID000001971,0.059666648694611135
CID000002099,0.1409823807727062
CID000036339,-0.039456268719244125
CID000004138,-0.08290730510981437
CID006447131,-0.06366360789640835
CID000170361,-0.02005011252435107
CID000004075,0.0597226036080557
CID000005394,0.024374195887278405
CID000005735,-0.004653098446406823
CID000000453,0.012310109289153104
CID000003767,0.00021292511166071115
CID000003333,0.05932871523092642
CID000005076,0.09115519581549258
CID000002800,0.015898094278002817
CID000003261,-0.015928419229493063
CID000005155,-0.013282320118636504
CID005493444,0.026601067406421097
CID000003414,-0.09029348844498153
CID000004192,-0.040199567694154004
CID000004771,-0.03134219422816398
CID000005572,-0.11619185789885256
CID000003249,0.01749565755642879
CID000004189,0.09332536998478014
CID000002818,-0.04031987379744417
CID000047320,-0.027496003605492758
CID000005515,0.01118484384017493
CID000003510,0.07300278144124084
CID001349907,0.14546018026015206
CID000038904,-0.03443739067209495
CID000072054,-0.018330402118688083
CID000005215,-0.11462817759421529
CID000077993,0.03557389935946342
CID000000596,-0.04143734449261838
CID000003279,0.07031859015358244
CID000002726,-0.0005929472591361673
CID000160051,0.0596467488450354
CID000003478,0.08756737029371842
CID000002173,0.12348962055515955
CID000003661,0.030307951614331752
CID000005578,-0.026601003415735347
CID000508230,0.047698828158623696
CID000005454,-0.10562972096498124
CID000005717,0.01026353991197837
CID000000085,-0.12964515754956984
CID000000206,-0.04091815149903821
CID000000119,0.06280806346619927
CID000003928,0.09627961907963833
CID000003467,0.02299282581633766
CID000004547,-0.03975634427792718
CID005362420,0.03362263162047574
CID000004499,0.015500124074451338
CID003062316,0.0882212570527765
CID000004920,0.01672733728170639
CID000005253,-0.021385763493900978
CID000060795,-0.02320120114942381
CID000004473,0.057628033298280035
CID005381226,-0.005715277925000706
CID000054374,-0.11268678314998448
CID000002130,-0.060748241880348886
CID000060612,0.03039924652182502
CID000002720,0.024891756044188695
CID003081884,-0.0027374921632532523
CID000002142,0.11674647832971685
CID000003152,-0.016910453205297493
CID000002732,0.07730803117268437
CID000147912,-0.026805133433964734
CID000047725,0.04438018680680389
CID000002474,-0.09531256594644555
CID000005078,-0.03348803674651024
CID000027686,0.033923742350823405
CID000004034,-0.023618735603023078
CID000004044,0.08316684107937089
CID000003203,-0.08588122801460618
CID000004999,0.010321649927121701
CID000002478,-0.06932009297611974
CID000004095,0.014202494293367063
CID000003114,0.07008543017186897
CID000213039,-0.062059860338500306
CID000060696,0.033325686748534644
CID000002727,-0.030201204948656635
CID000004539,-0.046565274301295645
CID000003007,0.017500577297966613
CID006398970,-0.015096965796828954
CID000110635,-0.06995074888331088
CID000003690,0.02895618300347924
CID000176870,0.09571346090892352
CID000005771,-0.06002998182738439
CID004183806,-0.03433071206765237
CID000003706,0.0356855436360235
CID000060843,-0.025194682031270954
CID000004991,-0.08085122982774795
CID000004542,-0.015451364911636789
CID000115237,-0.06002462575503742
CID000000564,0.010264407533997044
CID000003148,0.014302624843735234
CID000002676,0.05127860769728976
CID000005734,-0.025315250630463915
CID000002274,0.04762640284653474
CID000004834,-0.07994170165362524
CID000002712,-0.07412707929311924
CID000054547,0.05879954938145293
CID000041774,-0.09160683815801307
CID000005721,0.06465322753876457
CID000003914,-0.10058853615597041
CID000002512,-0.025286004640987958
CID000005593,0.01387848418970572
CID000004064,0.043808795078496776
CID000125017,-0.08841979975051206
CID000004536,0.08394107201460854
CID000504578,0.016296101071191282
CID000039765,-0.01680289454157391
CID000005731,0.05524570267355011
CID000012536,-0.1403287193290932
CID000071273,-0.06768414662721911
CID000002578,0.006694817292556943
CID000005206,-0.049386484784797124
CID000131536,-0.010376362390497995
CID000003964,-0.0500086335972425
CID000041317,0.030560636672369967
CID000005297,0.0017240149420987283
CID000004451,0.0981519858883596
CID000060815,0.09213590223332746
CID000005746,-0.05311319981490392
CID000002733,0.021975234585372982
CID000005210,0.02252572662516561
CID000005453,-0.043748702793519056
CID000000214,0.0433568414024017
CID000009433,-0.0431733952385267
CID000004845,-0.05816341565198768
CID005311082,0.004227155869485744
CID000002951,-0.002864651354028025
CID000003736,-0.05686180273963437
CID005473385,-0.019430988569924867
CID000004440,-0.09134308654401191
CID000041693,0.0757714100679816
CID000082146,-0.06387379573980367
CID000004201,0.13184501802237536
CID000065027,0.04684625692276856
CID000003494,0.07892757913714044
CID000003108,0.09353602943353156
CID000013342,-0.01597121679132818
CID000068844,-0.08856673775665502
CID000060164,0.02158645347618815
CID000004195,-0.14217787750555444
CID000002995,0.030979237915082836
CID000003355,0.07956120194886296
CID000027991,0.010726599100931322
CID004659569,-0.10331414696939611
CID000004425,0.04231531022459145
CID000003117,-0.11648129072674562
CID000005195,0.039955794086119156
CID000012620,0.09583703711825065
CID000156419,-0.04914074057174367
CID000040976,-0.09069926154207231
CID000003059,-0.004553294937715169
CID000003827,0.03817805010467201
CID000004675,-0.0058865935930449975
CID000000298,-0.13181853346786543
CID000003305,-0.0021637511705974166
CID000002215,0.0356083270447185
CID006436173,-0.013176699801223268
CID000051634,-0.027383563611464323
CID000004739,0.15549727650859513
CID000002610,0.09949291970781216
CID000004727,0.01993634907048014
CID000003637,-0.06219259473559191
CID000004745,0.01011499522975301
CID004659568,-0.01205321413890137
CID000657298,0.018911302820381448
CID000005878,0.1279713782293186
CID000003404,0.03787701694216916
CID000060871,0.1104169467430639
CID000004264,-0.045836662835218256
CID000003734,-0.06506446566018131
CID000005584,0.10568108327767245
CID000002369,-0.01611790730185203
CID000005525,0.00577765925206386
CID000054786,-0.10719681118136504
CID000004736,0.04616857414293418
CID000122316,-0.004886610613087816
CID000003008,-0.06816324826926845
CID000048175,-0.06537580088979955
CID000004893,0.13097525660732123
CID006918453,0.07499365347799392
CID000003066,0.037052232897306525
CID000002637,-0.009116387399925818
CID000042113,0.009612065875231779
CID000057537,0.011828646817200528
CID000002019,0.08476462098720483
CID000444013,0.01757243822642962
CID000060787,-0.06539099417246108
CID000002719,0.06251413050241961
CID000009052,-0.06940995612501277
CID000004419,0.022779383234304507
CID000036811,-0.04892037277332206
CID000003040,-0.09409885642241966
CID000003372,-0.044392904451593385
CID000002283,-0.059943183031642366
CID000123606,0.15071936814006615
CID005281007,-0.04683397081457974
CID000150610,-0.014912712016746488
CID000003291,0.03460019798931169
CID000003384,-0.06694807581459061
CID000005070,-0.0198647636272542
CID000002708,-0.014910619141794257
CID005282044,0.03246037245647371
CID000014888,-0.04291305197239481
CID000002476,0.029131646465172856
CID000002551,0.07973606659825694
CID000003724,0.12158777342308114
CID000002177,0.008242228105813987
CID000004046,-0.06345831395384827
CID000002673,0.015129789844788855
CID000003381,0.016087511473561134
CID000072467,0.03778080813424789
CID000004428,-0.019063566952287836
CID000057469,-0.04941711171405849
CID004479097,0.015834036360423243
CID000004932,-0.02835421108291336
CID000077992,0.1465415299223638
CID000005505,-0.013819366296449198
CID000002370,-0.05201328454861742
CID000145068,-0.0563825892506189
CID000004730,-0.05384590615626905
CID000001546,-0.026179140019233937
CID000002725,-0.007709623938195076
CID000004723,-0.031866894556766834
CID000005381,0.07909303898996345
CID000001206,0.02252530639069239
CID000153941,-0.09148373077581806
CID000003394,0.018767159757544283
CID000002170,0.04638820656422449
CID000002519,-0.08302041214935585
CID000003278,-0.04973750719560832
CID000004993,-0.09731260381867313
CID006435110,-0.014444360613915963
CID000004211,0.0996349038039338
CID000444033,-0.05506031299115355
CID005362070,0.07499345732668994
CID000003373,0.017660168684646926
CID000003730,-0.018656479398417858
CID000004011,0.021206601297092065
CID000005486,-0.07364861874423823
CID000005530,-0.044301994471467765
CID000039860,-0.15911888822881992
CID000002182,0.08384571194704882
CID000005482,-0.0002677098384644694
CID000002349,-0.08510393214543988
CID000004645,-0.02735163824130815
CID000000815,0.15876027043018637
CID003086258,0.09407215819625137
CID000004497,0.02716418768384321
CID000003642,-0.045358742324957735
CID000002232,-0.05717707019741214
CID000004913,-0.050347616349592395
CID000002675,-0.08200410353195808
CID000005052,-0.10561132628637648
CID000002266,-0.017089189299934082
CID009571074,-0.043895569230305576
CID000000158,-0.09771169616701059
CID000003562,0.04757858136098536
